브랜드,모델명,트림,세부트림,연료,차종,연식
현대,쏘나타 (DN8),2.0 LPG(렌터카용),스타일,LPG,세단,2021
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
현대,LF 쏘나타,2.0 스마트,,가솔린,세단,2016
현대,그랜저 하이브리드 (GN7),익스클루시브,,가솔린+전기,세단,2023
쉐보레(GM대우),더 넥스트 스파크,LTZ,,가솔린,소형,2015
현대,더 뉴 그랜저 IG,2.5,르블랑,가솔린,세단,2022
현대,아반떼 MD,M16 GDI 모던,,가솔린,세단,2012
기아,올 뉴 카니발,9인승 프레스티지,,디젤,SUV,2015
현대,팰리세이드,가솔린 3.8 2WD,캘리그래피,가솔린,SUV,2021
기아,K5 3세대,1.6 터보,프레스티지,가솔린,세단,2022
기아,모닝 어반 (JA),밴,스페셜,가솔린,소형,2020
현대,아반떼 AD,1.6 GDI 모던,,가솔린,세단,2016
현대,더 뉴 아반떼 AD,1.6,스마트,가솔린,세단,2019
현대,아반떼 AD,1.6 GDI 밸류 플러스,,가솔린,세단,2018
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
현대,더 뉴 그랜드 스타렉스,밴 5인승,모던,디젤,SUV,2019
기아,올 뉴 모닝,스마트 스페셜,,가솔린,소형,2011
현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,가솔린+전기,세단,2019
현대,제네시스 쿠페,380 GT-R,,가솔린,소형,2009
기아,스포티지 더 볼드,디젤 1.6 2WD,트렌디,디젤,CUV,2020
기아,더 뉴 K3,디젤 트렌디,,디젤,세단,2016
기아,카니발 4세대,가솔린 9인승 하이리무진(특장업체),,가솔린,SUV,2023
현대,그랜드 스타렉스,5인승 밴,스마트,디젤,SUV,2015
현대,LF 쏘나타,LPI 프리미엄,,LPG,세단,2016
현대,i30 cw,1.6 VVT 럭셔리,,가솔린,소형,2009
현대,그랜저 HG,HG240 모던 컬렉션,,가솔린,세단,2016
현대,그랜저 HG,LPG HG300 모던,,LPG,세단,2014
기아,카니발 R,그랜드 카니발 GLX,프리미엄,디젤,SUV,2012
쉐보레(GM대우),스파크,LT,기본형,가솔린,소형,2012
쉐보레(GM대우),더 넥스트 스파크,LT,플러스,가솔린,소형,2017
기아,더 뉴 K3,트렌디,C 타입,가솔린,세단,2016
기아,카니발 4세대,9인승 하이리무진(특장업체),,디젤,SUV,2021
기아,K5 3세대,1.6 터보,시그니처,가솔린,세단,2021
기아,셀토스,디젤 1.6 2WD,프레스티지,디젤,CUV,2021
기아,스포티지 더 볼드,디젤 2.0 2WD,시그니처,디젤,CUV,2019
현대,더 뉴 i30,2.0 디 스펙,,가솔린,소형,2015
현대,그랜저 IG,3.0 익스클루시브,,가솔린,세단,2016
현대,그랜저 하이브리드 (GN7),익스클루시브,,가솔린+전기,세단,2023
현대,스타리아,L3.5 라운지 7인승,인스퍼레이션,LPG,SUV,2022
KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,어드벤처,디젤,픽업트럭,2019
현대,쏘나타 (DN8),2.0 LPG(렌터카용),스타일,LPG,세단,2021
현대,그랜저 IG,3.0 익스클루시브,,가솔린,세단,2018
기아,카니발 4세대,가솔린 9인승 하이리무진,시그니처,가솔린,SUV,2022
기아,더 뉴 카니발 4세대,7인승 아웃도어,노블레스,디젤,SUV,2024
현대,아반떼 (CN7),1.6,인스퍼레이션,가솔린,세단,2021
기아,카니발 4세대,9인승 노블레스,,디젤,SUV,2021
기아,셀토스,가솔린 1.6 터보 2WD,노블레스,가솔린,CUV,2019
기아,레이,럭셔리,,가솔린,소형,2016
기아,더 뉴 카니발 4세대,가솔린 9인승 시그니처,,가솔린,SUV,2024
현대,더 뉴 코나 하이브리드,인스퍼레이션,,가솔린+전기,CUV,2022
현대,그랜저 하이브리드 (GN7),캘리그래피,,가솔린+전기,세단,2023
기아,더 뉴 모닝,스마트,,가솔린,소형,2016
기아,더 뉴 카니발 4세대,9인승 프레스티지,,디젤,SUV,2024
기아,더 뉴 기아 레이,시그니처,,가솔린,소형,2022
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2023
현대,올 뉴 투싼,디젤 2.0 2WD,모던,디젤,SUV,2018
현대,그랜저 HG,HG300 프리미엄,,가솔린,세단,2014
현대,더 뉴 아반떼 하이브리드 (CN7),모던,,가솔린+전기,세단,2023
현대,YF 쏘나타,LPI 프리미어(장애인용),,LPG,세단,2011
KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,프레스티지,디젤,픽업트럭,2022
현대,쏘나타 뉴 라이즈,LPI 스타일,,LPG,세단,2018
기아,모하비 더 마스터,디젤 3.0 4WD 6인승,마스터즈 그래비티,디젤,SUV,2021
현대,더 뉴 아반떼,1.6 GDi 스마트,기본형,가솔린,세단,2014
현대,LF 쏘나타 하이브리드,2.0 HEV,모던,가솔린+전기,세단,2016
현대,LF 쏘나타,2.0 프리미엄,,가솔린,세단,2014
기아,스포티지 더 볼드,디젤 2.0 2WD,프레스티지,디젤,CUV,2018
현대,아반떼 (CN7),1.6,스마트,가솔린,세단,2021
현대,쏘나타 (DN8),2,프리미엄 플러스,가솔린,세단,2022
기아,쏘렌토 4세대,HEV 1.6 2WD,그래비티,가솔린+전기,SUV,2023
기아,모하비,4WD KV300,고급형,디젤,SUV,2008
현대,그랜저 (GN7),2.5 가솔린 2WD,프리미엄,가솔린,세단,2023
기아,모닝 어반 (JA),밴,,가솔린,소형,2021
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2020
기아,모하비 더 마스터,디젤 3.0 4WD 6인승,플래티넘,디젤,SUV,2019
기아,스포티지 더 볼드,디젤 2.0 2WD,럭셔리,디젤,CUV,2019
기아,스포티지 더 볼드,디젤 1.6 2WD,트렌디,디젤,CUV,2021
기아,셀토스,디젤 1.6 2WD,프레스티지,디젤,CUV,2021
기아,더 뉴 모하비,디젤 3.0 4WD,VIP,디젤,SUV,2016
쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,RS,가솔린,소형,2020
기아,더 뉴 쏘렌토,디젤 2.0 2WD,노블레스,디젤,SUV,2019
기아,더 뉴 기아 레이,스탠다드,,가솔린,소형,2023
기아,모닝 어반 (JA),프레스티지,,가솔린,소형,2022
현대,그랜저 IG,2.4 모던,,가솔린,세단,2018
기아,더 뉴 K3,트렌디,스타일,가솔린,세단,2016
기아,셀토스,가솔린 1.6 터보 2WD,노블레스,가솔린,CUV,2020
기아,쏘렌토 4세대,HEV 1.6 4WD,노블레스,가솔린+전기,SUV,2022
현대,그랜저 IG 하이브리드,익스클루시브,,가솔린+전기,세단,2018
기아,K5 3세대,2,프레스티지,가솔린,세단,2021
현대,아반떼 (CN7),1.6,인스퍼레이션,가솔린,세단,2023
현대,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),,LPG,세단,2017
기아,더 뉴 카니발,9인승 럭셔리,,디젤,SUV,2018
기아,올 뉴 모닝,디럭스 스페셜,,가솔린,소형,2012
기아,더 뉴 모닝,디럭스,,가솔린,소형,2016
현대,그랜저 하이브리드 (GN7),캘리그래피,,가솔린+전기,세단,2023
기아,모닝 어반 (JA),밴,스페셜,가솔린,소형,2020
기아,모닝 어반 (JA),밴,스페셜,가솔린,소형,2020
기아,카니발 4세대,가솔린 7인승 하이리무진,시그니처,가솔린,SUV,2023
기아,셀토스,가솔린 1.6 터보 2WD,시그니처,가솔린,CUV,2022
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
기아,카니발 4세대,가솔린 9인승 하이리무진(특장업체),,가솔린,SUV,2023
현대,올 뉴 투싼,디젤 2.0 2WD,스마트,디젤,SUV,2018
현대,아반떼 MD,M16 GDI 에비뉴,,가솔린,세단,2013
기아,올 뉴 K3,럭셔리,,가솔린,세단,2018
현대,아반떼 AD,1.6 LPI 스타일(렌터카),,LPG,세단,2017
현대,더 뉴 아반떼,1.6 GDi 스마트,기본형,가솔린,세단,2014
현대,LF 쏘나타,1.7 디젤 스마트,스페셜,디젤,세단,2016
현대,더 뉴 그랜저 IG,2.5,프리미엄,가솔린,세단,2021
기아,올 뉴 카니발,가솔린 9인승 노블레스,,가솔린,SUV,2016
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
현대,제네시스 쿠페,380 GT-RW,,가솔린,소형,2010
현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),익스클루시브,LPG,세단,2020
기아,K5 2세대,2.0 MX,프레스티지,가솔린,세단,2015
기아,올 뉴 카니발,9인승 프레스티지,,디젤,SUV,2014
KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,와일드,디젤,픽업트럭,2019
기아,더 뉴 K5,럭셔리,트랜디,가솔린,세단,2015
현대,그랜저 HG,HG240 모던,,가솔린,세단,2015
기아,더 뉴 K3 2세대,1.6,트렌디,가솔린,세단,2021
기아,올 뉴 K3,노블레스,,가솔린,세단,2018
현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,가솔린,SUV,2022
기아,카니발 4세대,7인승 시그니처,,디젤,SUV,2022
현대,그랜저 IG,3.0 익스클루시브,스페셜,가솔린,세단,2017
현대,스타렉스 점보,6인승 CRDi 윈도우밴,GRX,디젤,SUV,2006
현대,그랜저 HG,HG300 프리미엄,,가솔린,세단,2015
현대,아반떼 MD,M16 GDI 럭셔리,,가솔린,세단,2012
기아,올 뉴 K3,스탠다드 LED 팩,,가솔린,세단,2021
현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,가솔린,SUV,2024
기아,올 뉴 K3,럭셔리,,가솔린,세단,2020
기아,더 뉴 스포티지 R,디젤 2WD 프레스티지,,디젤,CUV,2015
기아,쏘렌토 4세대,HEV 1.6 2WD,노블레스,가솔린+전기,SUV,2021
기아,더 뉴 모닝,럭셔리,,가솔린,소형,2015
기아,더 뉴 레이,밴,프레스티지,가솔린,소형,2021
KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,노블레스,디젤,픽업트럭,2019
현대,그랜저 IG,3.0 익스클루시브,,가솔린,세단,2018
기아,올 뉴 쏘렌토,디젤 2.0 2WD,노블레스,디젤,SUV,2015
기아,레이,프레스티지,,가솔린,소형,2013
쉐보레(GM대우),더 넥스트 스파크,LTZ,,가솔린,소형,2015
현대,i30 (PD),1.6 터보,N Line,가솔린,소형,2020
현대,더 뉴 그랜저 IG,2.5,익스클루시브,가솔린,세단,2020
기아,올 뉴 모닝,디럭스 트렌디,,가솔린,소형,2015
현대,스타리아,L3.5 어린이보호차,15인승,LPG,SUV,2023
기아,더 뉴 카니발 4세대,가솔린 9인승 노블레스,,가솔린,SUV,2024
기아,올 뉴 쏘렌토,디젤 2.0 2WD,노블레스,디젤,SUV,2016
현대,그랜저 IG 하이브리드,익스클루시브,스페셜,가솔린+전기,세단,2018
기아,K5 3세대,1.6 터보,노블레스,가솔린,세단,2022
르노코리아(삼성),SM3 네오,RE,,가솔린,세단,2016
현대,LF 쏘나타,2.0 스마트,,가솔린,세단,2014
현대,팰리세이드,디젤 2.2 2WD,프레스티지,디젤,SUV,2020
쉐보레(GM대우),더 넥스트 스파크,LT,플러스,가솔린,소형,2015
기아,스포티지 4세대,디젤 2.0 2WD 프레스티지,,디젤,CUV,2016
기아,올 뉴 카니발,9인승 프레스티지,,디젤,SUV,2015
현대,올 뉴 투싼,디젤 1.7 2WD,모던 피버,디젤,SUV,2016
기아,올 뉴 카니발,9인승 노블레스,,디젤,SUV,2015
기아,더 뉴 쏘렌토,디젤 2.0 2WD,마스터,디젤,SUV,2019
현대,그랜저 IG,2.4 익스클루시브,스페셜,가솔린,세단,2019
현대,아반떼 (CN7),1.6,모던,가솔린,세단,2021
현대,더 뉴 그랜저 IG,2.5,프리미엄 초이스,가솔린,세단,2020
기아,모하비,4WD QV300,고급형,디젤,SUV,2010
기아,올 뉴 모닝 (JA),럭셔리,,가솔린,소형,2019
기아,쏘렌토 4세대,HEV 1.6 2WD,시그니처,가솔린+전기,SUV,2020
기아,카니발 4세대,가솔린 9인승 시그니처,,가솔린,SUV,2021
기아,K3,트렌디,,가솔린,세단,2014
기아,더 뉴 카니발,가솔린 9인승 노블레스 스페셜,,가솔린,SUV,2019
기아,더 뉴 레이,프레스티지,,가솔린,소형,2021
기아,올 뉴 카니발,가솔린 9인승 노블레스,,가솔린,SUV,2018
기아,레이,럭셔리,,가솔린,소형,2017
KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,노블레스,디젤,픽업트럭,2020
현대,i30 (PD),1.6 터보,N Line,가솔린,소형,2018
현대,아반떼 AD,1.6 GDI 밸류 플러스,,가솔린,세단,2018
현대,더 뉴 그랜저 IG,2.5,스페셜,가솔린,세단,2021
기아,스포티지 5세대 하이브리드,시그니처 그래비티 2WD,,가솔린+전기,CUV,2024
기아,올 뉴 카니발,가솔린 7인승 리무진,프레지던트,가솔린,SUV,2017
현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,가솔린,CUV,2024
현대,쏘나타 (DN8),2,프리미엄 플러스,가솔린,세단,2022
기아,카니발 R,그랜드 카니발 GLX,최고급형,디젤,SUV,2013
기아,더 뉴 레이,프레스티지,,가솔린,소형,2021
현대,더 뉴 아반떼,1.6 GDi 모던,기본형,가솔린,세단,2015
현대,투싼 (NX4),가솔린 1.6 터보 2WD,모던,가솔린,SUV,2021
현대,그랜저 하이브리드 (GN7),캘리그래피,,가솔린+전기,세단,2024
기아,카니발 4세대,9인승 프레스티지,,디젤,SUV,2021
기아,셀토스,디젤 1.6 2WD,노블레스,디젤,CUV,2020
르노코리아(삼성),SM3 네오,LE,,가솔린,세단,2015
현대,그랜저 IG,2.4 프리미엄,스페셜,가솔린,세단,2018
기아,더 뉴 카니발,7인승 리무진,프레지던트,디젤,SUV,2018
기아,올 뉴 K3,럭셔리,,가솔린,세단,2018
르노코리아(삼성),뉴SM3,LE,,가솔린,세단,2014
기아,카니발 4세대,9인승 노블레스,,디젤,SUV,2021
기아,쏘렌토 4세대,가솔린 2.5T 2WD,그래비티,가솔린,SUV,2023
기아,모하비 더 마스터,디젤 3.0 4WD 6인승,마스터즈,디젤,SUV,2020
기아,레이,터보 프레스티지,,가솔린,소형,2014
기아,더 뉴 레이,시그니처,,가솔린,소형,2021
기아,올 뉴 K3,럭셔리,,가솔린,세단,2019
기아,더 뉴 레이,베스트 셀렉션,,가솔린,소형,2022
현대,그랜저 HG,HG240 모던,,가솔린,세단,2015
기아,더 뉴 모하비,디젤 3.0 4WD,프레지던트,디젤,SUV,2017
현대,더 뉴 그랜저 IG,2.5,프리미엄 초이스,가솔린,세단,2020
기아,올 뉴 모닝,럭셔리,,가솔린,소형,2013
현대,팰리세이드,가솔린 3.8 4WD,캘리그래피,가솔린,SUV,2021
기아,더 뉴 K3 2세대,1.6,노블레스,가솔린,세단,2021
기아,쏘렌토 4세대,디젤 2.2 2WD,프레스티지,디젤,SUV,2021
기아,레이,디럭스,,가솔린,소형,2013
현대,YF 쏘나타,Y20 프라임,블랙,가솔린,세단,2011
현대,아반떼 AD,1.6 GDI 밸류 플러스,,가솔린,세단,2017
현대,그랜저 HG,HG300 익스클루시브,,가솔린,세단,2014
현대,그랜저 HG,LPG HG300 이그제큐티브,,LPG,세단,2011
현대,팰리세이드,가솔린 3.8 2WD,캘리그래피,가솔린,SUV,2022
KG모빌리티(쌍용),더 뉴 렉스턴 스포츠,디젤 2.2 4WD,익스페디션,디젤,픽업트럭,2022
현대,더 뉴 코나,가솔린 1.6 터보 4WD,모던 초이스,가솔린,CUV,2022
현대,더 뉴 그랜저 IG 하이브리드,익스클루시브,,가솔린+전기,세단,2020
현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,가솔린+전기,SUV,2022
KG모빌리티(쌍용),체어맨 H,500S 최고급형,,가솔린,세단,2010
기아,모하비 더 마스터,디젤 3.0 4WD 5인승,마스터즈,디젤,SUV,2022
기아,K5 하이브리드 3세대,노블레스,,가솔린+전기,세단,2020
기아,쏘렌토 4세대,HEV 1.6 2WD,그래비티,가솔린+전기,SUV,2023
현대,아반떼 하이브리드 (CN7),인스퍼레이션,,가솔린+전기,세단,2022
현대,스타리아,카고 5인승,모던,디젤,SUV,2022
기아,쏘렌토 4세대,디젤 2.2 2WD,트렌디,디젤,SUV,2020
현대,투싼 (NX4),가솔린 1.6 터보 2WD,인스퍼레이션,가솔린,SUV,2023
쉐보레(GM대우),스파크,LS,스타,가솔린,소형,2013
현대,더 뉴 아반떼,1.6 VGT 스타일,,디젤,세단,2014
현대,그랜저 IG,3.0 LPi 모던 (렌터카),,LPG,세단,2017
기아,올 뉴 카니발,9인승 노블레스,,디젤,SUV,2015
현대,그랜저 하이브리드 (GN7),프리미엄,,가솔린+전기,세단,2024
현대,올 뉴 투싼,디젤 2.0 2WD,모던,디젤,SUV,2015
쉐보레(GM대우),더 뉴 스파크,프리미어,,가솔린,소형,2021
기아,더 뉴 모하비,디젤 3.0 4WD,프레지던트,디젤,SUV,2018
기아,올 뉴 모닝,럭셔리 스포츠,,가솔린,소형,2014
현대,그랜저 IG 하이브리드,프리미엄,,가솔린+전기,세단,2019
현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,디젤,SUV,2019
기아,더 뉴 모닝,디럭스,,가솔린,소형,2015
기아,모닝 어반 (JA),프레스티지,,가솔린,소형,2021
현대,그랜저 HG,HG300 프리미엄,,가솔린,세단,2013
기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,그래비티,가솔린,CUV,2023
기아,더 뉴 카니발,9인승 프레스티지,,디젤,SUV,2019
현대,더 뉴 아반떼,1.6 GDi 스타일,,가솔린,세단,2014
현대,아반떼 AD,1.6 GDI 스마트,,가솔린,세단,2016
현대,코나,1.6 터보 2WD,모던 팝,가솔린,CUV,2018
현대,아반떼 HD,1.6 VVT E16,밸류,가솔린,세단,2007
기아,스포티지 더 볼드,디젤 2.0 4WD,럭셔리,디젤,CUV,2019
기아,올 뉴 모닝 (JA),럭셔리,,가솔린,소형,2017
기아,카니발 4세대,가솔린 7인승 하이리무진,시그니처,가솔린,SUV,2021
현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),모던,LPG,세단,2022
기아,더 뉴 쏘렌토,디젤 2.2 4WD,마스터 스페셜,디젤,SUV,2019
현대,올 뉴 투싼,디젤 2.0 2WD,얼티밋 에디션,디젤,SUV,2018
현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,가솔린+전기,SUV,2023
현대,쏘나타 (DN8),2,프리미엄,가솔린,세단,2019
기아,더 뉴 카니발,7인승 리무진,프레지던트,디젤,SUV,2019
기아,쏘렌토 4세대,가솔린 2.5T 2WD,그래비티,가솔린,SUV,2023
현대,더 뉴 그랜저 IG,2.5,익스클루시브,가솔린,세단,2020
기아,더 뉴 레이,베스트 셀렉션,,가솔린,소형,2022
KG모빌리티(쌍용),더 뉴 렉스턴 스포츠,디젤 2.2 4WD,익스페디션,디젤,픽업트럭,2022
현대,더 뉴 팰리세이드,가솔린 3.8 4WD,캘리그래피,가솔린,SUV,2023
현대,올 뉴 투싼,가솔린 1.6 터보 2WD,프리미엄,가솔린,SUV,2019
기아,모하비 더 마스터,디젤 3.0 4WD 5인승,마스터즈,디젤,SUV,2022
현대,아반떼 MD,M16 GDI 프리미어,,가솔린,세단,2011
기아,레이,EV,,전기,소형,2015
기아,올 뉴 카니발,9인승 프레스티지,,디젤,SUV,2014
현대,더 뉴 그랜저 IG,2.5,익스클루시브,가솔린,세단,2020
현대,쏘나타 (DN8),2.0 LPG(렌터카용),스마트,LPG,세단,2019
기아,쏘렌토 4세대,HEV 1.6 4WD,시그니처,가솔린+전기,SUV,2023
기아,더 뉴 K5,럭셔리,트랜디,가솔린,세단,2013
기아,카니발 4세대,9인승 하이리무진,시그니처,디젤,SUV,2022
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2022
현대,더 뉴 그랜드 스타렉스,밴 3인승,스마트,디젤,SUV,2018
기아,카니발 4세대,9인승 프레스티지,,디젤,SUV,2021
기아,올 뉴 모닝 (JA),럭셔리,,가솔린,소형,2017
현대,투싼 하이브리드 (NX4),인스퍼레이션 2WD,,가솔린+전기,SUV,2023
현대,더 뉴 그랜저 IG,2.5,캘리그래피,가솔린,세단,2021
기아,레이,밴,,가솔린,소형,2017
현대,쏘나타 디 엣지(DN8),1.6 터보,익스클루시브,가솔린,세단,2024
기아,더 뉴 K3 2세대,1.6,트렌디,가솔린,세단,2021
기아,카니발 4세대,9인승 프레스티지,,디젤,SUV,2021
현대,더 뉴 그랜드 스타렉스,12인승 LPi,스마트,LPG,SUV,2020
기아,더 뉴 레이,럭셔리,,가솔린,소형,2019
기아,더 뉴 쏘렌토,디젤 2.0 2WD,노블레스,디젤,SUV,2018
기아,카니발 4세대,9인승 프레스티지,,디젤,SUV,2020
기아,K3,디젤 프레스티지,,디젤,세단,2014
현대,쏘나타 하이브리드 (DN8),프리미엄 플러스,,가솔린+전기,세단,2021
현대,그랜저 IG,2.4 모던,,가솔린,세단,2017
현대,그랜저 IG,3.0 익스클루시브,스페셜,가솔린,세단,2019
현대,그랜저 HG,HG300 익스클루시브 스페셜,,가솔린,세단,2015
르노코리아(삼성),뉴SM5 플래티넘,SE,S/S 컬렉션,가솔린,세단,2014
기아,올 뉴 모닝 (JA),LPi 디럭스,,LPG,소형,2017
기아,더 뉴 레이,프레스티지,,가솔린,소형,2022
기아,K5 2세대,2.0 SX,프레스티지,가솔린,세단,2016
기아,셀토스,디젤 1.6 2WD,시그니처,디젤,CUV,2021
현대,그랜저 IG,3.3 셀러브리티,,가솔린,세단,2019
르노코리아(삼성),SM3 네오,RE,,가솔린,세단,2014
현대,더 뉴 아반떼,1.6 GDi 스마트,기본형,가솔린,세단,2014
기아,더 뉴 K3,프레스티지,,가솔린,세단,2017
쉐보레(GM대우),스파크,스파크 S,LT,가솔린,소형,2015
기아,더 뉴 K3 2세대,1.6,트렌디,가솔린,세단,2021
현대,투싼 (NX4),가솔린 1.6 터보 2WD,모던,가솔린,SUV,2021
기아,쏘렌토 4세대,디젤 2.2 2WD,노블레스,디젤,SUV,2021
쉐보레(GM대우),더 뉴 스파크,프리미어,,가솔린,소형,2019
현대,쏘나타 (DN8),1.6 터보,인스퍼레이션,가솔린,세단,2022
현대,그랜저 HG 하이브리드,프리미엄,,가솔린+전기,세단,2014
기아,더 뉴 카니발,9인승 프레스티지,,디젤,SUV,2020
기아,카니발 4세대,9인승 프레스티지,,디젤,SUV,2020
현대,쏘나타 하이브리드,2,스마트,가솔린+전기,세단,2014
현대,그랜저 IG,3.0 익스클루시브,,가솔린,세단,2016
현대,코나,디젤 1.6 2WD,모던 초이스,디젤,CUV,2020
기아,레이,디럭스 스페셜,,가솔린,소형,2013
기아,K5 3세대,2.0 LPI(렌터카용),트렌디,LPG,세단,2020
기아,셀토스,디젤 1.6 2WD,시그니처,디젤,CUV,2021
르노코리아(삼성),SM5 노바,클래식,,가솔린,세단,2018
기아,K5 3세대,2,노블레스,가솔린,세단,2021
기아,더 뉴 카니발,가솔린 9인승 하이리무진,노블레스 스페셜,가솔린,SUV,2019
현대,코나 일렉트릭,모던,,전기,CUV,2018
현대,제네시스 쿠페,200 터보 R,,가솔린,소형,2010
현대,그랜드 스타렉스,3인승 밴,스마트,디젤,SUV,2017
기아,쏘렌토 4세대,디젤 2.2 2WD,노블레스,디젤,SUV,2021
기아,카니발 4세대,11인승 프레스티지,,디젤,SUV,2021
기아,쏘렌토 4세대,HEV 1.6 4WD,시그니처,가솔린+전기,SUV,2020
현대,쏘나타 더 브릴리언트,LPI 스마트,,LPG,세단,2013
기아,쏘렌토 4세대,디젤 2.2 2WD,프레스티지,디젤,SUV,2020
현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,가솔린+전기,세단,2020
기아,K5 3세대,2.0 LPI(렌터카용),트렌디,LPG,세단,2021
현대,아반떼 AD,1.6 GDI 프리미엄,,가솔린,세단,2015
기아,스포티지 더 볼드,디젤 2.0 4WD,럭셔리,디젤,CUV,2019
현대,쏘나타 디 엣지(DN8),1.6 터보,익스클루시브,가솔린,세단,2024
기아,스포티지 더 볼드,디젤 2.0 4WD,럭셔리,디젤,CUV,2019
기아,더 뉴 카니발 4세대,HEV 9인승 그래비티,,가솔린+전기,SUV,2024
현대,뉴 투싼 ix,디젤(e-VGT) 4WD,스마트 스페셜,디젤,SUV,2013
현대,아반떼 (CN7),2.0 N,,가솔린,세단,2021
현대,쏘나타 뉴 라이즈,2.0 스마트 초이스,,가솔린,세단,2018
현대,더 뉴 팰리세이드,가솔린 3.8 2WD,캘리그래피,가솔린,SUV,2024
기아,더 뉴 레이,스탠다드,,가솔린,소형,2020
현대,더 뉴 그랜저 IG,2.5,프리미엄 초이스,가솔린,세단,2020
현대,아반떼 (CN7),2.0 N,,가솔린,세단,2022
현대,투싼 (NX4),디젤 2.0 4WD,모던,디젤,SUV,2021
현대,더 뉴 그랜저 IG,3.0 LPi,익스클루시브,LPG,세단,2022
현대,더 뉴 그랜저 IG,2.5,프리미엄 초이스,가솔린,세단,2020
기아,올 뉴 K3,5도어 GT 플러스,,가솔린,세단,2020
기아,올 뉴 모닝,스마트,,가솔린,소형,2014
기아,K3,노블레스,,가솔린,세단,2014
기아,더 뉴 카니발,9인승 럭셔리,,디젤,SUV,2019
쉐보레(GM대우),더 뉴 스파크,LS,,가솔린,소형,2020
현대,코나,1.6 터보 2WD,모던 초이스,가솔린,CUV,2020
기아,K5,LPI 디럭스,,LPG,세단,2011
쉐보레(GM대우),더 넥스트 스파크,LTZ,,가솔린,소형,2015
현대,그랜저 하이브리드 (GN7),익스클루시브,,가솔린+전기,세단,2023
현대,더 뉴 그랜저 IG,2.5,캘리그래피,가솔린,세단,2020
현대,더 뉴 팰리세이드,가솔린 3.8 4WD,익스클루시브,가솔린,SUV,2022
기아,K3,노블레스,,가솔린,세단,2013
기아,쏘렌토 4세대,디젤 2.2 2WD,노블레스,디젤,SUV,2020
현대,아반떼 AD,1.6 GDI 밸류 플러스,,가솔린,세단,2017
기아,셀토스,가솔린 1.6 터보 4WD,프레스티지,가솔린,CUV,2022
쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,프리미어,가솔린,소형,2020
KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,프레스티지,디젤,픽업트럭,2019
기아,더 뉴 레이,밴,스탠다드,가솔린,소형,2020
기아,쏘렌토 4세대,디젤 2.2 2WD,시그니처,디젤,SUV,2020
기아,카니발 4세대,가솔린 9인승 하이리무진(특장업체),,가솔린,SUV,2022
기아,더 뉴 카니발,9인승 프레스티지,,디젤,SUV,2020
현대,그랜저 HG,HG240 모던,,가솔린,세단,2014
현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,가솔린,CUV,2023
기아,올 뉴 쏘렌토,디젤 2.0 2WD,프레스티지,디젤,SUV,2015
현대,올 뉴 투싼,디젤 1.6 2WD,프리미엄,디젤,SUV,2019
기아,쏘렌토 4세대,HEV 1.6 2WD,노블레스,가솔린+전기,SUV,2022
기아,셀토스,디젤 1.6 2WD,트렌디,디젤,CUV,2020
현대,그랜저 IG,2.4 프리미엄,스페셜,가솔린,세단,2017
기아,스포티지 더 볼드,디젤 2.0 2WD,프레스티지,디젤,CUV,2019
현대,아반떼 (CN7),1.6,인스퍼레이션,가솔린,세단,2020
현대,더 뉴 그랜저 IG,2.5,프리미엄 초이스,가솔린,세단,2020
기아,스포티지 5세대,가솔린 1.6 터보 2WD,트렌디,가솔린,CUV,2021
기아,올 뉴 카니발,9인승 노블레스,,디젤,SUV,2016
기아,더 뉴 카니발 4세대,HEV 9인승 하이리무진 (특장업체),,가솔린+전기,SUV,2025
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
