모델명,연료,트림,가격
팰리세이드 (LX3),가솔린,2.5T 4WD 7인승,7190
더 뉴 투싼 (NX4),가솔린,1.6 터보 2WD,3320
더 뉴 레이,가솔린,베스트 셀렉션,1389
GV80 쿠페,가솔린,3.5T e-S/C  AWD,10200
K8,가솔린,2.5  2WD,2860
올 뉴 K7 하이브리드,가솔린+전기,노블레스,2090
K7 프리미어,가솔린,3.0 GDI 시그니처,2280
더 뉴 K8 하이브리드,가솔린+전기,시그니처,4980
올 뉴 모닝 (JA),가솔린,레이디,720
렉스턴 스포츠,디젤,2.2 4WD,1500
레이,가솔린,럭셔리,300
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1390
엑센트(신형),가솔린,1.4 VVT 스마트,370
뉴SM5(신형),LPG,LPLI LE,270
쏘나타 하이브리드,가솔린+전기,2,589
쏘나타 뉴 라이즈,LPG,LPI 스타일,1290
G70,가솔린,3.3T 스포츠 AWD,2590
쏘울 부스터 EV,전기,노블레스,9999
올 뉴 K7 하이브리드,가솔린+전기,노블레스,1590
더 뉴 싼타페,가솔린,2.5T 2WD,3333
올 뉴 카렌스,LPG,2.0 LPi 프레스티지,770
SM6,가솔린,2.0 GDe RE,780
뉴체어맨 W,가솔린,CW700,750
더 뉴 아반떼 AD,가솔린,1.6,1480
올 뉴 투싼,디젤,2.0 2WD,1500
더 뉴 SM6,가솔린,1.8 TCe LE,1390
GV80,디젤,3.0  AWD,4000
싼타페 TM,디젤,2.0 2WD,2090
G70,가솔린,2.0T AWD,1799
LF 쏘나타,가솔린,2.0 스마트,680
SM6,가솔린,2.0 GDe RE,880
올 뉴 카니발,디젤,7인승 리무진,1790
뉴코란도 C,디젤,2.2 익스트림 2WD,810
더 뉴 쏘렌토,디젤,2.0 4WD,1520
싼타페 더 프라임,디젤,2.0 2WD,1250
올 뉴 카니발,디젤,9인승 럭셔리,1100
카니발 4세대,디젤,9인승 프레스티지,2390
쏘렌토 4세대,디젤,2.2 2WD,2800
G4 렉스턴,디젤,2.2 4WD,1890
올 뉴 쏘렌토,디젤,2.0 2WD,1519
스포티지 더 볼드,디젤,1.6 2WD,1540
쏘렌토 4세대,디젤,2.2 4WD,2330
그랜저 (GN7),가솔린,2.5  2WD,3399
더 뉴 G70,가솔린,2.0T 2WD,3250
SM5 노바,가솔린,LE,290
스포티지 더 볼드,디젤,1.6 2WD,1699
제네시스 DH,가솔린,G330 모던 AWD,1299
SM6,LPG,2.0 LPe RE,849
뉴SM3,가솔린,RE,240
엑셀,가솔린,4DR 1.5 L,390
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 4WD,2750
YF 쏘나타,LPG,LPI 럭셔리,290
아반떼 MD,가솔린,M16 GDI 모던,600
K5 하이브리드 3세대,가솔린+전기,트렌디,1840
투싼 (NX4),디젤,2.0 4WD,9999
쏘나타 (DN8),가솔린,2,1910
티볼리,디젤,LX 2WD,770
K8,LPG,3.5 LPG 2WD,2190
YF 쏘나타,LPG,LPI 럭셔리,299
스포티지 4세대,가솔린,2.0 2WD 노블레스,1350
더 뉴 트랙스,가솔린,1.4 프리미어,820
뉴 다마스,LPG,2인승 판넬밴,470
더 뉴 프라이드,가솔린,5DR 1.4 MPI,535
스포티지 R,디젤,2WD TLX,490
뉴SM5 플래티넘,가솔린,SE,160
더 뉴 K3,가솔린,디럭스,840
레이,가솔린,럭셔리,560
알페온,가솔린,EL240,330
더 뉴 스파크,가솔린,프리미어,760
뉴모닝,가솔린,LX,9999
스타리아,디젤,카고 3인승,2260
더 뉴 스포티지 R,디젤,2WD 럭셔리,729
제네시스 쿠페,가솔린,200 터보 P,630
G4 렉스턴,디젤,2.2 4WD,2000
더 뉴 카니발,디젤,7인승 리무진,2360
스팅어,가솔린,3.3 터보 2WD,2099
올 뉴 K3,가솔린,럭셔리,1380
크루즈,가솔린,1.8 LTZ+,399
올 뉴 K7 하이브리드,가솔린+전기,노블레스 스페셜,1577
더 뉴 QM6,LPG,2.0 LPe 프리미에르 2WD,2390
그랜저 HG,가솔린,HG240 모던,655
올 뉴 카니발,디젤,9인승 하이리무진,1679
더 뉴 K5,가솔린,럭셔리,920
쏘나타 뉴 라이즈,가솔린,2.0 프리미엄 스페셜,1080
더 뉴 니로,가솔린+전기,1.6 HEV,2199
올 뉴 쏘렌토,디젤,2.0 4WD,1150
아반떼 (CN7),가솔린,1.6,1350
올 뉴 투싼,디젤,1.7 2WD,1220
아반떼 AD,가솔린,1.6 GDI 모던,800
K5 하이브리드 3세대,가솔린+전기,시그니처,2410
팰리세이드,가솔린,3.8 4WD,3385
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2599
아반떼 AD,가솔린,1.6 GDI 프리미엄,1350
더 K9,가솔린,3.8 GDI AWD,2940
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,8888
i30 (PD),가솔린,1.6 터보,1670
i40,디젤,1.7 VGT,840
제네시스 DH,가솔린,G380 파이니스트 에디션 AWD,1380
더 뉴 아반떼 (CN7),가솔린,1.6,2380
아반떼 하이브리드,LPG+전기,HDeII,330
티볼리 아머,디젤,VX 2WD,950
K5,가솔린,2.0 디럭스,399
더 뉴 말리부,가솔린,2.0 터보 퍼펙트 블랙,1650
더 뉴 니로,가솔린+전기,1.6 HEV,1490
더 넥스트 스파크,가솔린,에코 LTZ,470
싼타페 더 프라임,디젤,2.0 2WD,1298
레이,가솔린,럭셔리,760
G80 (RG3),가솔린,2.5 터보 2WD,5470
카니발 R,디젤,그랜드 카니발 하이리무진 GLX,675
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,1250
올 뉴 카니발,가솔린,7인승 리무진,1250
말리부,가솔린,2.0 LTZ 디럭스팩,579
모하비 더 마스터,디젤,3.0 4WD 6인승,2980
K5,LPG,LPI 스마트,320
스포티지 4세대,디젤,2.0 2WD 노블레스,1030
트레일블레이저,가솔린,1.3 터보 2WD,2080
카니발 4세대,가솔린,9인승 시그니처,3580
캐스퍼,가솔린,터보 인스퍼레이션,1550
제네시스 DH,가솔린,G330 모던,1490
투싼 ix,디젤,2WD LX20,440
스타리아,디젤,4WD 투어러 11인승,3900
뉴QM5,디젤,2WD RE,430
더 뉴 레이,가솔린,밴,615
EQ900,가솔린,3.8 GDI,2000
임팔라,가솔린,3.6 LTZ,1111
뉴SM5 플래티넘,LPG,LPLi LE,349
EQ900,가솔린,3.3 T-GDI AWD,1850
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 그래비티,5390
SM3 네오,가솔린,LE,600
올 뉴 말리부,가솔린,1.5 터보 LTZ,780
렉스턴 W,디젤,2.0 2WD RX7,560
더 뉴 그랜저 IG,가솔린,2.5,2299
에쿠스(신형),가솔린,VS380,1000
카니발 4세대,가솔린,9인승 하이리무진,3900
아슬란,가솔린,G330 프리미엄,1190
쏠라티,디젤,14인승,3790
쏘렌토 4세대,디젤,2.2 4WD,2619
말리부,가솔린,2.0 LT 디럭스팩,290
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2050
더 뉴 K5 2세대,가솔린,2,1370
G80 (RG3),가솔린,2.5 터보 AWD,3399
LF 쏘나타,LPG,LPI 모던,960
아반떼 AD,가솔린,1.6 GDI 스마트,1150
더 뉴 트랙스,가솔린,1.4 LT,1400
더 뉴 레이,가솔린,밴,900
올 뉴 투싼,디젤,2.0 2WD,1790
G70,디젤,2.2D AWD,1580
아반떼 AD,가솔린,1.6 GDI 프리미엄,1120
쏘나타 (DN8),가솔린,1.6 터보,1690
그랜저 IG,디젤,2.2  프리미엄,1140
아반떼 (CN7),가솔린,1.6,1099
투싼 (NX4),가솔린,1.6 터보 4WD,3430
G70,가솔린,2.0T,2720
팰리세이드,디젤,2.2 2WD,2530
G70,디젤,2.2D AWD,2320
더 뉴 G70,가솔린,2.0T 4WD,7777
더 뉴 모닝,가솔린,밴,300
카니발 4세대,가솔린,9인승 노블레스,2937
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2790
G80 (RG3),가솔린,2.5 터보 2WD,4580
스팅어 마이스터,가솔린,3.3 GT 마스터즈 터보 패키지,3330
K5,LPG,LPI 스마트,300
오피러스 프리미엄,LPG,LPI GH270 고급형,430
올 뉴 모닝 (JA),가솔린,트렌디,590
더 뉴 카렌스,LPG,2.0 LPI 프레스티지,740
싼타페 TM,가솔린,2.0T 2WD,2190
G80,가솔린,3.3 T-GDI AWD,2600
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1200
K8 하이브리드,가솔린+전기,시그니처,3339
G80 (RG3),가솔린,3.5 터보 2WD,5405
더 뉴 카니발,디젤,7인승 리무진,2450
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,2790
베뉴,가솔린,1.6 플럭스,1330
LF 쏘나타,가솔린,2.0 프리미엄,860
스포티지 더 볼드,디젤,1.6 2WD,1580
싼타페 TM,가솔린,2.0T 4WD,2570
쏘울,가솔린,1.6 GDI 럭셔리,620
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,1840
아반떼 (CN7),가솔린,2.0 N,2640
그랜드 스타렉스,디젤,3인승 밴,969
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄,2560
G90 (RS4),가솔린,3.5 터보 AWD,8390
더 뉴 투싼 (NX4),가솔린,1.6 터보 4WD,3990
더 뉴 카니발,디젤,7인승 하이리무진,2350
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 프레스티지,4380
아이오닉5,전기,롱레인지,3499
카니발 4세대,가솔린,9인승 하이리무진,4349
K8,가솔린,2.5  2WD,2850
QM6,디젤,2WD RE 시그니처,1349
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,4110
K5 하이브리드 3세대,가솔린+전기,트렌디,1820
카니발 4세대,가솔린,9인승 하이리무진,3880
K8 하이브리드,가솔린+전기,노블레스,3500
더 K9,가솔린,3.8 GDI,8888
올 뉴 카니발,디젤,9인승 노블레스,1250
스파크,가솔린,밴,140
팰리세이드,디젤,2.2 4WD,2620
K5 2세대,LPG,LPI MX,850
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,2180
그랜저 (GN7),LPG,3.5 LPG 2WD,3190
K8 하이브리드,가솔린+전기,시그니처,3150
GV70,디젤,2.2  2WD,3699
그랜저 IG,가솔린,3.0 프리미엄,1300
더 뉴 팰리세이드,디젤,2.2 2WD,4080
제네시스 DH,가솔린,G380 파이니스트 에디션 AWD,1290
더 뉴 싼타페,디젤,2.2 2WD,3999
팰리세이드,디젤,2.2 2WD,2570
팰리세이드,가솔린,3.8 2WD,2820
그랜저 IG,가솔린,3.0 익스클루시브,1190
에쿠스(신형),가솔린,VL500,899
더 뉴 트레일블레이저,가솔린,1.3 터보 4WD,2805
SM6,LPG,2.0 LPe RE,990
QM3,디젤,LE,530
레이,가솔린,터보,680
더 뉴 K5,LPG,LPI 디럭스,730
YF 쏘나타,LPG,LPI 디럭스,299
SM6,LPG,2.0 LPe RE,830
K5 3세대,가솔린,1.6 터보,2550
모닝 어반 (JA),가솔린,프레스티지,1190
더 뉴 QM6,LPG,2.0 LPe 프리미에르 2WD,2000
더 뉴 싼타페,가솔린,2.5T 2WD,2480
SM6,LPG,2.0 LPe RE,799
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1880
그랜저 HG,가솔린,HG300 노블,499
올 뉴 카니발,가솔린,7인승 하이리무진,2520
쏘울 부스터,가솔린,1.6 T-GDI 노블레스,1410
레이,가솔린,디럭스,399
더 뉴 그랜드 스타렉스,디젤,웨건 11인승,2200
리얼 뉴 콜로라도,LPG,3.6 Z71-X 미드나잇 4WD,2549
더 뉴 코나 하이브리드,가솔린+전기,인스퍼레이션,2790
티볼리 에어,디젤,IX 2WD,790
더 뉴 쏘렌토,디젤,2.0 2WD,1540
XM3,가솔린,1.3 TCe RE 인스파이어,2220
스팅어,가솔린,2.0 터보 2WD,1940
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,4150
더 뉴 카니발 4세대,가솔린+전기,HEV 7인승 시그니처,4980
더 뉴 기아 레이,가솔린,밴,1449
올 뉴 K3,가솔린,스탠다드,1180
스포티지 더 볼드,가솔린,2.0 2WD,2160
쏘나타 뉴 라이즈,가솔린,2.0 프리미엄 스페셜,1160
더 뉴 스파크,가솔린,LS,820
XM3,가솔린,1.6 GTe LE,990
올 뉴 쏘렌토,디젤,2.2 2WD,9999
올 뉴 프라이드,가솔린,1.6 GDI 해치백,420
그랜드 스타렉스,디젤,4WD 어린이보호차,1600
더 뉴 아반떼 (CN7),가솔린,1.6,2230
스포티지 더 볼드,디젤,2.0 2WD,2099
K8,가솔린,2.5  2WD,2610
투싼 (NX4),가솔린,1.6 터보 2WD,2190
더 뉴 카니발,디젤,9인승 프레스티지,1710
올란도,디젤,2.0  LT,479
카니발 4세대,가솔린,9인승 하이리무진,5490
그랜저 IG,가솔린,2.4 프리미엄,2050
더 뉴 레이,가솔린,밴,747
프라이드(신형),가솔린,4DR 1.6 CVVT SLX,249
더 뉴 니로,가솔린+전기,1.6 HEV,1998
더 뉴 카니발,가솔린,7인승 리무진,2430
넥쏘,수소,프리미엄,1390
K3,가솔린,디럭스,730
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4100
코나 하이브리드,가솔린+전기,프리미엄 스페셜,1370
G80,가솔린,3.8 GDI AWD,1299
더 뉴 기아 레이,가솔린,시그니처,1630
더 뉴 K5,가솔린,프레스티지,780
G80,가솔린,3.3 GDI AWD,1660
G80,가솔린,3.3 GDI AWD,2295
올 뉴 카니발,디젤,9인승 럭셔리,750
G70,가솔린,2.0T,2850
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4099
벨로스터 (JS),가솔린,2.0 N,1279
크루즈,가솔린,1.4 터보 LTZ+,9999
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3040
올 뉴 카마로,가솔린,SS 6.2 V8 볼케이노 레드,2499
올 뉴 카렌스,LPG,2.0 LPi 프레스티지,580
말리부,디젤,2.0  LT 프리미엄팩,599
더 뉴 쏘렌토,디젤,2.0 2WD,1680
LF 쏘나타,가솔린,2.0 스타일,790
셀토스,가솔린,1.6 터보 2WD,2360
스포티지 4세대,디젤,2.0 2WD 프레스티지,1170
올 뉴 쏘렌토,디젤,2.0 2WD,1550
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,3250
더 뉴 카니발,디젤,9인승 프레스티지,1530
카니발 4세대,가솔린,9인승 프레스티지,2950
올 뉴 K7,디젤,2.2  리미티드,1850
EQ900,가솔린,3.3 T-GDI AWD,2250
뉴 쏘렌토 R,디젤,2.0 2WD,770
올 뉴 렉스턴,디젤,2.2 4WD,2270
스토닉,가솔린,1.4,1250
코란도 투리스모,디젤,4WD GT 9인승,530
All New SM7,가솔린,LE,699
싼타페 DM,디젤,2.0 4WD 익스클루시브,1230
타호,가솔린,6.2 다크나이트 4WD,5990
더 뉴 SM6,LPG,2.0 LPe SE Plus,1020
말리부,가솔린,2.4 LTZ,425
K7 프리미어,가솔린,2.5 GDI X 에디션,1710
K8,가솔린,2.5  2WD,2290
스포티지 4세대,디젤,2.0 2WD 트렌디,1289
뷰티풀 코란도,가솔린,1.5 2WD C5,1820
티볼리 에어,디젤,IX 2WD,9999
K5 2세대,가솔린,1.6 터보 SX,850
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,4470
더 뉴 토레스,가솔린,1.5 2WD,3130
싼타페 TM,디젤,2.0 2WD,1860
더 넥스트 스파크,가솔린,LTZ,569
더 뉴 그랜저 IG,가솔린,2.5,2429
더 뉴 K7,가솔린,2.4 GDI 프레스티지,930
GV80,가솔린,2.5T  AWD,6760
GV70,가솔린,2.5T  2WD,4740
더 뉴 트랙스,디젤,1.6  LTZ,719
아반떼 MD,가솔린,M16 GDI 모던,595
투싼 ix,디젤,2WD LX20,9999
팰리세이드,가솔린,3.8 2WD,3340
모닝 어반 (JA),가솔린,밴,690
아반떼 AD,가솔린,1.6 GDI 모던,1100
더 뉴 아반떼 AD,가솔린,1.6,1359
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1350
올 뉴 모닝,가솔린,스마트 스페셜,390
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,2439
올 뉴 K7,가솔린,2.4 GDI 프레스티지,770
엑센트(신형),가솔린,1.4 VVT 모던,830
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,380
GV80,가솔린,2.5T  AWD,6650
제네시스 쿠페,가솔린,380 GT-R,460
타호,가솔린,6.2 하이컨트리 4WD,5650
에쿠스(신형),가솔린,VS380,375
엑센트(신형),가솔린,1.4 VVT 프리미엄,590
더 뉴 K3,디젤,트렌디,650
카니발 4세대,가솔린,9인승 하이리무진,5130
그랜드 스타렉스,디젤,5인승 밴,1110
LF 쏘나타,LPG,LPI 프리미엄,950
트래버스,가솔린,3.6 AWD 프리미어,2850
i30 cw,가솔린,1.6 VVT 럭셔리,295
G80,가솔린,3.3 GDI,2650
그랜저 HG,가솔린,HG240 모던 컬렉션,730
그랜저 HG,LPG,LPG HG300 모던,700
올란도,디젤,2.0  LTZ,340
카니발 R,디젤,그랜드 카니발 GLX,630
K8 하이브리드,가솔린+전기,시그니처,3490
더 뉴 K3,가솔린,트렌디,735
QM6,디젤,4WD RE 시그니처,1130
카니발 4세대,디젤,9인승 하이리무진,4450
베리 뉴 티볼리,가솔린,1.5 2WD,1220
티볼리,디젤,TX 2WD,600
셀토스,디젤,1.6 2WD,1710
더 뉴 i30,가솔린,2.0 디 스펙,848
그랜저 IG,가솔린,3.0 익스클루시브,1650
올란도,디젤,2.0  LTZ,650
카니발 4세대,디젤,9인승 노블레스,2370
제네시스 DH,가솔린,G330 모던,990
G80 (RG3),가솔린,2.5 터보 2WD,4650
뉴카렌스,LPG,LPI 2.0 GX,320
일렉트리파이드 GV70,전기,e-AWD,4680
K7 프리미어,가솔린,2.5 GDI 프레스티지,2160
더 뉴 기아 레이,가솔린,시그니처,1720
카니발 4세대,디젤,9인승 시그니처,3500
트랙스 크로스오버,가솔린,1.2 RS,2690
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,760
더 뉴 아반떼 하이브리드 (CN7),가솔린+전기,모던,2180
YF 쏘나타,LPG,LPI 프리미어,330
올 뉴 쏘울,가솔린,1.6 GDi 노블레스,1220
쏘나타 뉴 라이즈,LPG,LPI 스타일,870
올란도,디젤,2.0  LTZ,399
더 뉴 아반떼,가솔린,1.6 GDi 스마트,850
K7 프리미어,디젤,2.2  노블레스,1999
LF 쏘나타,가솔린,2.0 프리미엄,1050
스포티지 더 볼드,디젤,2.0 2WD,1420
G80,가솔린,3.3 GDI AWD,1140
EV6,전기,롱레인지,1980
모하비,디젤,4WD KV300,680
그랜저 (GN7),가솔린,2.5  2WD,3419
코란도 투리스모,디젤,4WD TX 9인승,1090
K8,가솔린,2.5  2WD,2665
더 뉴 쏘렌토,디젤,2.0 2WD,2160
셀토스,가솔린,1.6 터보 2WD,1860
K7 프리미어,가솔린,2.5 GDI 프레스티지,1990
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3700
K5 3세대,가솔린,2,3350
더 뉴 모닝,가솔린,디럭스,470
카니발 4세대,가솔린,7인승 하이리무진,5190
올 뉴 K7,가솔린,2.4 GDI 리미티드,1299
포르테 쿱,가솔린,2.0 고급,340
더 K9,가솔린,3.8 GDI AWD,2680
카니발 4세대,가솔린,9인승 하이리무진,7070
SM7 New Art,가솔린,SE,220
올 뉴 투싼,디젤,2.0 2WD,1380
아반떼 MD,가솔린,M16 GDI 에비뉴,499
올 뉴 K3,가솔린,럭셔리,999
더 뉴 아반떼,가솔린,1.6 GDi 스마트,388
올란도,LPG,LPG LTZ,380
LF 쏘나타,디젤,1.7  스마트,990
G4 렉스턴,디젤,2.2 4WD,1550
카니발 4세대,디젤,9인승 시그니처,3120
제네시스 쿠페,가솔린,380 GT-RW,660
뉴카렌스,LPG,LPI 2.0 GLX,273
K5 2세대,가솔린,2.0 MX,840
올 뉴 카니발,디젤,9인승 프레스티지,1030
더 뉴 K5,가솔린,럭셔리,930
그랜저 HG,가솔린,HG240 모던,820
더 뉴 K3 2세대,가솔린,1.6,1150
올 뉴 K3,가솔린,노블레스,1540
G80 (RG3),가솔린,2.5 터보 AWD,4880
올 뉴 프라이드,디젤,1.4  해치백,650
카니발 4세대,디젤,7인승 시그니처,3950
그랜저 IG,가솔린,3.0 익스클루시브,1610
스타렉스 점보,디젤,6인승 CRDi 윈도우밴,269
그랜저 HG,가솔린,HG300 프리미엄,799
아반떼 MD,가솔린,M16 GDI 럭셔리,499
올 뉴 K3,가솔린,스탠다드 LED 팩,1330
알페온,가솔린,EL300,480
K7 프리미어,가솔린,3.0 GDI 노블레스,2299
티볼리 아머,가솔린,TX 2WD,650
더 뉴 스포티지 R,디젤,2WD 프레스티지,1160
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,2890
렉스턴 스포츠,디젤,2.2 4WD,1730
그랜저 IG,가솔린,3.0 익스클루시브,2140
티볼리 아머,가솔린,VX 2WD,839
G70,디젤,2.2D AWD,1399
올 뉴 K7,가솔린,2.4 GDI 리미티드,1590
올 뉴 쏘렌토,디젤,2.0 2WD,1510
에쿠스(신형),가솔린,VS380,1150
더 넥스트 스파크,가솔린,LTZ,469
벨로스터,가솔린,터보 D 스펙,650
i30 (PD),가솔린,1.6 터보,1860
올 뉴 모닝,가솔린,디럭스 트렌디,540
G80 (RG3),가솔린,2.5 터보 2WD,3150
스타리아,LPG,L3.5 어린이보호차,3690
EV6,전기,롱레인지 4WD,3530
GV70,가솔린,2.5T  2WD,4957
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2190
G90,가솔린,5.0 AWD,3599
SM3 네오,가솔린,RE,650
팰리세이드,디젤,2.2 2WD,2450
스포티지 4세대,디젤,2.0 2WD 프레스티지,1100
올 뉴 투싼,디젤,1.7 2WD,1450
더 뉴 싼타페,디젤,2.2 2WD,2319
올 뉴 카니발,디젤,9인승 노블레스,1270
더 뉴 쏘렌토,디젤,2.0 2WD,1765
그랜저 IG,가솔린,2.4 익스클루시브,1930
코란도 스포츠,디젤,익스트림 4WD,990
더 뉴 그랜저 IG,가솔린,2.5,2130
모하비,디젤,4WD QV300,680
카니발 4세대,가솔린,9인승 시그니처,3190
더 뉴 카니발,가솔린,9인승 노블레스 스페셜,1799
K8,LPG,3.5 LPG 2WD,1999
올 뉴 카니발,가솔린,9인승 노블레스,1730
레이,가솔린,럭셔리,850
렉스턴 스포츠,디젤,2.2 4WD,1799
GV80,디젤,3.0  AWD,3759
제네시스 DH,가솔린,G330 모던 AWD,1070
G4 렉스턴,디젤,2.2 4WD,1830
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1199
올 뉴 카니발,가솔린,7인승 리무진,1450
G80,가솔린,3.3 GDI,2399
카니발 R,디젤,그랜드 카니발 GLX,649
싼타페 (MX5),가솔린,2.5T 2WD,3870
GV80,가솔린,3.5T  AWD,5200
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,3720
카니발 4세대,디젤,9인승 프레스티지,2790
셀토스,디젤,1.6 2WD,1399
GV80,디젤,3.0  AWD,4889
더 뉴 말리부,디젤,1.6  LT,1250
G70,가솔린,2.0T,2020
GV80,가솔린,2.5T  AWD,4250
XM3,가솔린,1.3 TCe RE,1365
i40 살룬,디젤,1.7 VGT,666
그랜저 IG,가솔린,2.4 프리미엄,2070
더 뉴 카니발,디젤,7인승 리무진,1675
더 뉴 맥스크루즈,디젤,2.2 2WD,1350
뉴SM3,가솔린,LE,360
G80,가솔린,3.8 GDI,1750
레이,가솔린,터보 프레스티지,720
더 뉴 레이,가솔린,시그니처,1090
에쿠스(신형),가솔린,VS380,430
더 뉴 모하비,디젤,3.0 4WD,1598
코란도 투리스모,디젤,4WD RT 11인승,750
엑센트(신형),디젤,위트  1.6 VGT 프리미어,350
더 뉴 K3 2세대,가솔린,1.6,1680
쏘울,가솔린,1.6 4U,450
YF 쏘나타,가솔린,Y20 프라임,390
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,910
G4 렉스턴,디젤,2.2 4WD,1650
뉴SM5(신형),LPG,LPLI LE,180
그랜저 HG,가솔린,HG300 익스클루시브,919
그랜저 HG,LPG,LPG HG300 이그제큐티브,590
올 뉴 말리부,가솔린,1.5 터보 LTZ,1090
더 뉴 렉스턴 스포츠,디젤,2.2 4WD,3099
더 뉴 코나,가솔린,1.6 터보 4WD,1850
올 뉴 말리부,가솔린,2.0 터보 LTZ,949
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2470
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 2WD,2599
아베오 해치백,가솔린,LS,280
더 프레스티지 K7,LPG,LPI 3.0 디럭스,450
토레스,가솔린,1.5 2WD,2499
캐스퍼,가솔린,인스퍼레이션,1590
제네시스 DH,가솔린,G380 프레스티지 AWD,2090
체어맨 H,가솔린,500S 최고급형,350
모하비 더 마스터,디젤,3.0 4WD 5인승,5290
에쿠스(신형),가솔린,VS380,1400
K5 하이브리드 3세대,가솔린+전기,노블레스,1950
더 뉴 K7,LPG,LPI 3.0 럭셔리,479
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,3890
더 뉴 아반떼,디젤,1.6 VGT 스타일,520
K7 프리미어,가솔린,3.0 GDI 노블레스,1999
더 뉴 QM6,LPG,퀘스트 2.0 LPe SE 2WD,1700
SM6,LPG,2.0 LPe LE,549
티볼리,가솔린,LX 2WD,520
SM7 노바,가솔린,RE35,690
올 뉴 모닝,가솔린,럭셔리 스포츠,350
그랜저 IG 하이브리드,가솔린+전기,프리미엄,1550
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1250
GV60,전기,퍼포먼스 AWD,5690
모닝 어반 (JA),가솔린,프레스티지,979
그랜저 HG,가솔린,HG300 프리미엄,590
제네시스 DH,가솔린,G330 프리미엄 AWD,899
더 뉴 카니발,디젤,9인승 프레스티지,1590
뉴카렌스,LPG,LPI 2.0 GX,380
뉴코란도 C,디젤,2.2 익스트림 2WD,530
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1539
더 럭셔리 그랜저,LPG,LPI Q270 장애인용,9999
티볼리,가솔린,LX 2WD,940
티볼리,디젤,VX 2WD,720
더 뉴 말리부,가솔린,1.3 터보 프리미어,1220
더 뉴 쏘렌토,디젤,2.2 4WD,2060
올 뉴 투싼,디젤,2.0 2WD,1999
더 뉴 그랜저 IG,가솔린,2.5,2679
스파크,가솔린,LT,170
더 K9,가솔린,3.8 GDI AWD,3480
아반떼 MD,가솔린,M16 GDI 프리미어,650
레이,전기,EV,379
올 뉴 카니발,디젤,9인승 프레스티지,1309
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,730
테라칸,디젤,4WD JX290 골드,640
G80,가솔린,3.3 GDI AWD,1700
코란도 C,디젤,클러비 2WD,190
포르테,LPG,1.6 LPG,300
벨로스터 (JS),가솔린,2.0 N,2180
더 뉴 K5,가솔린,럭셔리,999
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1220
카니발 4세대,디젤,9인승 하이리무진,4990
카니발 4세대,디젤,9인승 시그니처,3890
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1320
말리부,가솔린,2.0 LT 디럭스팩,430
캐스퍼,가솔린,모던,1260
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 2WD,3439
더 뉴 그랜저 IG,가솔린,2.5,2330
G80,가솔린,3.3 GDI AWD,1150
레이,가솔린,밴,535
쏘나타 디 엣지(DN8),가솔린,1.6 터보,2998
토레스 EVX,전기,E7,2990
더 뉴 그랜드 스타렉스,LPG,12인승 LPi,1899
더 뉴 쏘렌토,디젤,2.0 2WD,1430
카니발 4세대,디젤,9인승 프레스티지,2130
